Total (Grains/m^3)|Comments|Date
1494.2|oaks This is an estimated count|04/17/2006
306.7|oaks This an estimated count|04/18/2006
288.1|Oak, Pine|04/19/2006
355.8|oaks, pine, hickory|04/20/2006
219.2|Substitute operator on duty|04/21/2006
292.3|oaks,pine, hickory This is an estimated count|04/24/2006
291.7|oaks, pine, hickory|04/25/2006
65.4|Oak|04/26/2006
25.0|oaks, hickory|04/27/2006
104.2|OAK|04/28/2006
124.4|birch, oaks|05/01/2006
81.1|oaks, hickory|05/02/2006
120.5|Oak, Hickory/Walnut, Pine|05/03/2006
170.5|oaks, hickory, birch|05/04/2006
176.9|Birch, Oak, grass|05/05/2006
32.4|oaks, birch|05/08/2006
4.2|pine|05/09/2006
56.1|grass|05/10/2006
33.0|trees - hickory|05/11/2006
99.4|Birch, Hickory/Walnut|05/12/2006
4.8|Trees|05/15/2006
35.3|pine, hickory|05/16/2006
47.1|grass trees: Hickory, Pine|05/17/2006
42.0|Trees - pine, hickory|05/18/2006
34.6|Pine, Hickory|05/19/2006
76.6|Trees- hickory,pine|05/22/2006
58.3|Trees- pine, hickory|05/23/2006
41.0|Predominate type is grasses|05/24/2006
64.1||05/25/2006
41.0|pine, grass|05/26/2006
77.6|This is a 2-day count|05/30/2006
23.7|Grass|05/31/2006
33.0|Grasses|06/01/2006
28.2|grass|06/02/2006
87.2|Trees -pine|06/05/2006
14.4|Trees - pine|06/06/2006
13.5|trees|06/07/2006
26.6|grasses|06/08/2006
26.0|Pine, Hickory/Walnut|06/09/2006
6.7|Weeds - plantain|06/12/2006
13.5|Weeds- plantain|06/13/2006
1.3|tree|06/14/2006
9.6|Grasses|06/15/2006
27.9|Weeds - plantain|06/16/2006
33.7|Grasses|06/19/2006
9.3|Weeds|06/20/2006
15.1|grass|06/21/2006
17.0|Grasses|06/22/2006
34.0|grass|06/23/2006
11.2|Grasses|06/26/2006
62.5|Grasses|06/27/2006
30.8|grasses|06/28/2006
81.4|Grasses|06/29/2006
53.8|weeds|06/30/2006
32.4|grass|07/05/2006
30.4|Grasses|07/06/2006
16.7|grasses|07/07/2006
73.7|Grasses|07/10/2006
56.7|grass|07/11/2006
64.1|grass|07/12/2006
49.4|Grasses|07/13/2006
33.7|Grasses|07/14/2006
36.9|Grasses|07/17/2006
75.0|Grasses|07/18/2006
46.5|grass|07/19/2006
138.5|Grasses|07/20/2006
90.4|grass|07/21/2006
12.2|Grasses|07/24/2006
8.7|Grasses|07/25/2006
23.7|grass|07/26/2006
42.9|Grasses|07/27/2006
23.1|grass|07/28/2006
11.5|Grasses|07/31/2006
12.2|Grasses|08/01/2006
11.9|grass|08/02/2006
63.1|grasses|08/03/2006
50.6|grass|08/04/2006
37.8|Grasses|08/07/2006
21.5|Grasses|08/08/2006
50.3|grass|08/09/2006
85.6|Grasses|08/10/2006
44.2|grass|08/11/2006
79.5|Grasses|08/14/2006
51.6|Grasses|08/15/2006
13.8|grass|08/16/2006
9.9|Grasses|08/17/2006
15.4|grass|08/18/2006
17.0|Grasses|08/21/2006
30.4|Grasses|08/22/2006
9.0|grass|08/23/2006
16.0|Weeds|08/24/2006
7.7|weeds|08/25/2006
7.4|Weeds|08/28/2006
19.9|weeds|08/29/2006
13.5|weeds|08/30/2006
3.2|Weeds|08/31/2006
1.0|None|09/01/2006
7.1|Weeds|09/05/2006
24.0|grass|09/06/2006
37.2|Grasses|09/07/2006
46.5|grasses|09/08/2006
22.1|Weeds - ragweed|09/11/2006
25.3|weeds|09/12/2006
36.2|weeds|09/13/2006
9.9|Weeds -ragweed|09/14/2006
5.4|weeds|09/15/2006
17.3|Weeds - ragweed|09/18/2006
43.6|Weeds - ragweed|09/19/2006
16.0|weeds|09/20/2006
31.1|Weeds - ragweed|09/21/2006
56.1|weeds|09/22/2006
44.6||09/25/2006
28.5|Grasses|09/26/2006
33.3|Grasses and ragweed|09/27/2006
35.6|grass|09/28/2006
19.2|weeds|09/29/2006
14.4|Weeds|10/02/2006
17.6|Weeds - ragweed|10/03/2006
22.4|weeds|10/04/2006
9.3|Weeds-ragweed|10/09/2006
14.1|WEEDS|10/11/2006
29.5|Weeds - ragweed|10/12/2006
16.7|Weeds- ragweed|10/13/2006
4.2|Weeds|10/16/2006
5.1|Weeds|10/17/2006
1.3|grass|10/18/2006
0.0|there was no pollen today|10/19/2006
7.7|weeds|10/20/2006
2.2|weeds|10/23/2006
1.9|Weeds|10/24/2006
1.6|pine, weed|10/25/2006
2.6|Weeds|10/26/2006
1.6|Weeds|10/27/2006
4.2|Trees|10/30/2006
0.6||10/31/2006
1.9|weeds|11/01/2006
0.6|Trees|11/02/2006
1.0||11/03/2006
1.9|Trees|11/06/2006
1.0|Weeds|11/07/2006
0.3|weed|11/08/2006
0.3||11/09/2006
1.0||11/13/2006
0.6|weeds|11/15/2006
0.6|Trees|11/16/2006
1.3|weed and tree|11/17/2006
1.0|Trees|11/20/2006
0.6|Tomorrow will be our last pollen report of the season|11/21/2006
0.6|weeds This concludes the pollen sampling for the season|11/22/2006
94.2|juniper, elm|03/01/2007
6.4||03/02/2007
99.7|elm, juniper|03/05/2007
149.4|elm, juniper|03/06/2007
63.1|Elm, Juniper, maple|03/07/2007
390.4|juniper, elm Estimated based on 1/3 of rod counted|03/08/2007
31.7|ELM, JUNIPER|03/09/2007
473.1|Estimated - based on 1/3 of rod counted|03/12/2007
198.4|juniper, elm|03/13/2007
225.0|Juniper, Maple, Oak, Elm, Pine|03/14/2007
406.7|oaks, juniper, birch|03/15/2007
295.2|Oak, Pine, Juniper, Elm|03/16/2007
12.5|pine|03/19/2007
170.2|Predominant types - oak, pine, juniper|03/20/2007
117.9|Oak, Juniper, Pine|03/21/2007
46.5|predominant type - oak, birch, juniper|03/22/2007
41.0|Pine, Oak|03/23/2007
643.3|This is estimated on 1/3 of rod counted|03/26/2007
1050.0|Estimated count based on 1/3 of rod counted|03/27/2007
2887.5|Oak, Pine, Sweet Gum|03/28/2007
1845.2|Estimated total based on 1/3 of rod counted|03/29/2007
871.2|Oak, Pine, Birch|03/30/2007
1658.7|Estimated total based on 1/3 of rod counted|04/02/2007
2227.9|Estimated total based on 1/3 of rod counted|04/03/2007
1138.5|Oak, Sweet Gum, Pine|04/04/2007
1629.8|Estimated based on1/3 of rod counted|04/05/2007
373.1|Estiamted based on 2/3 of rod counted|04/09/2007
231.7|Predominant types - oaks, pine|04/10/2007
133.0|Oak, Pine|04/11/2007
139.1|Predominant type - oaks, pine|04/12/2007
412.8|Oak, Pine|04/13/2007
240.1|Predominant type- pine, oaks|04/16/2007
2.9|oaks|04/17/2007
151.6|Predominant type - pine, oaks|04/18/2007
57.4|Predominant type -oaks, pine|04/19/2007
60.6|OAK, PINE|04/20/2007
151.0|Predominant type -pine|04/23/2007
162.5|Predominant types -pine, hickory,oaks|04/24/2007
72.8|Pine, Oak, Hickory/Walnut|04/25/2007
131.4|Predominant type -pine, hickory|04/26/2007
129.5|Oak, Pine, Hickory|04/27/2007
122.1|Predominant type - pine, hickory, oak|04/30/2007
73.4|Predominant type -pine, birch, hickory|05/01/2007
56.7|Willows, Oak, Hickory|05/02/2007
135.3|Predominant types - hickory, birch,pine|05/03/2007
44.2|Oak, Hickory, Birch, Pine, Grasses|05/04/2007
116.7|Oak, Hickory, Pine, grasses|05/07/2007
84.3|Predominant types - oaks, pine|05/08/2007
10.9|Pine, Grasses|05/09/2007
17.6|Predominant type - grasses|05/10/2007
57.4|hickory, grasses|05/11/2007
69.9|hickory, oaks, grasses|05/14/2007
67.3|Trees are predominant in general, but grasses are highest individually|05/15/2007
35.3|grasses, Oak, Pine, Hickory|05/16/2007
38.1|Trees predominate, but individually - grasses|05/17/2007
19.6|trees predominate, but individually it's grasses|05/18/2007
88.1|Trees -pine and oak; also grasses|05/21/2007
52.2|Predominant type- grasses|05/22/2007
49.0|grasses|05/23/2007
31.4|Predominant type - grasses|05/24/2007
25.0|grasses are predominate|05/25/2007
17.6|Predominant type- grasses|05/29/2007
19.6|grasses|05/30/2007
32.4|Predominant type- grasses|05/31/2007
37.2|grasses|06/01/2007
4.5|grasses|06/04/2007
11.5|grasses are predominate|06/05/2007
15.1|grasses, pine|06/06/2007
10.9|Predominant type - grasses and various trees|06/07/2007
11.9|Grasses predominant species|06/08/2007
21.8|Predominant - weeds|06/11/2007
19.9|Predominant type- trees - pine|06/12/2007
17.9|grasses|06/13/2007
14.4|Predominant type- weeds|06/14/2007
8.0|pine|06/15/2007
17.6|Predominant type- weeds|06/18/2007
25.6|Predominant type - grasses|06/19/2007
12.8|weeds|06/20/2007
15.7|Predominant type -weeds|06/21/2007
17.9|Predominant type -weeds|06/22/2007
17.9|Predominant type - grasses|06/25/2007
22.8|Predominant type -grasses|06/26/2007
4.8|grasses and weeds|06/27/2007
10.6|Predominant type -grasses|06/28/2007
6.4|trees grasses|06/29/2007
18.6|Predominant type -grasses|07/02/2007
23.4|Predominant type - grasses|07/03/2007
5.8|grasses|07/05/2007
5.8||07/06/2007
3.2|grasses|07/09/2007
15.1|Weeds predominate|07/10/2007
5.4|grasses and weeds|07/11/2007
15.1|pine|07/12/2007
9.3|weeds|07/13/2007
11.5|Trees predominate|07/16/2007
8.3|Trees predominate|07/17/2007
3.2|Predominant type- weeds|07/18/2007
3.8|Predominant type -weeds|07/19/2007
6.4|Predominant type - grasses|07/20/2007
20.2|grasses|07/23/2007
16.7|Predominant type- grasses|07/24/2007
8.3|grasses|07/25/2007
11.2|Predominant type- grasses|07/26/2007
27.9|weeds|07/27/2007
11.9|Predominant type - grasses|07/30/2007
12.5|Predominant type -grasses|07/31/2007
3.2|weeds|08/01/2007
11.2|Predominant type - grasses|08/02/2007
21.8|grasses|08/03/2007
22.4|Predominant type - grasses|08/06/2007
10.3|Predominant type - grasses|08/07/2007
17.0|grasses|08/08/2007
5.1|Predominant type -weeds|08/09/2007
9.0||08/11/2007
37.2|Predominant type -grasses|08/13/2007
36.5|Predominant type -grasses|08/14/2007
24.0|grasses|08/15/2007
14.7|Predominant type -grasses|08/16/2007
11.5|grasses|08/17/2007
14.4|Predominant type -weeds|08/20/2007
12.8||08/21/2007
5.4|Predominant type -weeds|08/22/2007
10.9|WEEDS|08/23/2007
8.0|Predominant type -weeds|08/24/2007
3.5|Predominant type -weeds|08/27/2007
5.4|Predominant type -weeds|08/28/2007
13.1|weeds|08/29/2007
13.5|Predominant type -grasses|08/30/2007
12.8|weeds|08/31/2007
17.3|Predominant type -weeds - ragweed|09/04/2007
15.1|weeds|09/05/2007
19.9|Predominant type -weeds - ragweed|09/06/2007
15.4|grasses|09/07/2007
64.4|Predominant type -weeds-ragweed|09/10/2007
23.7|Predominant type -weeds - ragweed|09/11/2007
35.6|weeds|09/12/2007
25.3|Predominant type -weeds -ragweed|09/13/2007
38.1|Predominant type- weeds - ragweed|09/14/2007
60.6|weeds|09/17/2007
17.9|grasses|09/18/2007
14.4|weeds|09/19/2007
10.6|Predominant type -weeds -ragweed|09/20/2007
0.0|broken pollen sampler, expect no pollen data for several days|09/21/2007
26.3|weeds|09/26/2007
18.6|Predominant type - weeds -ragweed|09/27/2007
12.2|weeds|09/28/2007
19.9|The counts are over 3 days|10/01/2007
14.7|Predominant type -weeds - ragweed|10/02/2007
23.4|Predominant type -weeds|10/03/2007
20.8|Predominant type -grasses|10/04/2007
48.1|Predominant type - weeds|10/05/2007
39.1|Predominant type - grasses|10/08/2007
64.7|Predominant type -grasses|10/09/2007
46.8|Predominant type -grasses|10/10/2007
32.1|Predominant type -weeds - ragweed|10/11/2007
9.3|weeds|10/12/2007
5.4|Predominant type - weeds|10/15/2007
19.2|Predominant type- weeds - ragweed|10/16/2007
18.9|weeds|10/17/2007
11.5|WEEDS this is for a 20 hour time period|10/19/2007
50.0|Predominant type - grasses|10/22/2007
48.7|Predominant type - grasses|10/23/2007
47.8|grass|10/24/2007
3.5||10/25/2007
0.6|grass|10/26/2007
5.8|Predominant type- grasses|10/29/2007
4.5|Predominant type - grasses|10/30/2007
0.3|pine|10/31/2007
1.6|Predominant type -trees|11/01/2007
3.8|GRASSES|11/02/2007
0.3||11/05/2007
3.5|Predominant type -weeds|11/06/2007
2.2|weeds|11/07/2007
0.6||11/08/2007
0.3|pine|11/09/2007
1.0|Predominant type -trees|11/13/2007
0.0|no pollen|11/14/2007
1.3||11/15/2007
1.9||11/16/2007
0.0||11/19/2007
0.3||11/20/2007
0.0|This is the final pollen report of the season|11/21/2007
88.1|Juniper, Elm|02/27/2008
38.5|Predominant type - elm, juniper|02/28/2008
25.0|Elm|02/29/2008
272.4|Predominant type - juniper|03/03/2008
72.4|Predominant type - juniper|03/04/2008
