Type|Number of Grains|Severity|Pollen Count (Grains/m^3)|Date
Grasses|1|LOW (0 - 15 grains)|0.3|04/17/2006
Trees|4659|VERY HIGH (3001 - 999999 grains)|1493.3|04/17/2006
Weeds|2|LOW (0 - 30 grains)|0.6|04/17/2006
Grasses|15|LOW (0 - 15 grains)|4.8|04/18/2006
Trees|942|HIGH (271 - 3000 grains)|301.9|04/18/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/18/2006
Grasses|6|LOW (0 - 15 grains)|1.9|04/19/2006
Trees|893|HIGH (271 - 3000 grains)|286.2|04/19/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/19/2006
Grasses|9|LOW (0 - 15 grains)|2.9|04/20/2006
Trees|1101|HIGH (271 - 3000 grains)|352.9|04/20/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/20/2006
Grasses|0|LOW (0 - 15 grains)|0.0|04/21/2006
Trees|684|HIGH (271 - 3000 grains)|219.2|04/21/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/21/2006
Grasses|14|LOW (0 - 15 grains)|4.5|04/24/2006
Trees|894|HIGH (271 - 3000 grains)|286.5|04/24/2006
Weeds|4|LOW (0 - 30 grains)|1.3|04/24/2006
Grasses|13|LOW (0 - 15 grains)|4.2|04/25/2006
Trees|891|HIGH (271 - 3000 grains)|285.6|04/25/2006
Weeds|6|LOW (0 - 30 grains)|1.9|04/25/2006
Grasses|9|LOW (0 - 15 grains)|2.9|04/26/2006
Trees|195|MODERATE (46 - 270 grains)|62.5|04/26/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/26/2006
Grasses|5|LOW (0 - 15 grains)|1.6|04/27/2006
Trees|73|MODERATE (46 - 270 grains)|23.4|04/27/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/27/2006
Grasses|0|LOW (0 - 15 grains)|0.0|04/28/2006
Trees|325|HIGH (271 - 3000 grains)|104.2|04/28/2006
Weeds|0|LOW (0 - 30 grains)|0.0|04/28/2006
Grasses|21|MODERATE (16 - 60 grains)|6.7|05/01/2006
Trees|367|HIGH (271 - 3000 grains)|117.6|05/01/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/01/2006
Grasses|30|MODERATE (16 - 60 grains)|9.6|05/02/2006
Trees|223|MODERATE (46 - 270 grains)|71.5|05/02/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/02/2006
Grasses|70|HIGH (61 - 600 grains)|22.4|05/03/2006
Trees|306|HIGH (271 - 3000 grains)|98.1|05/03/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/03/2006
Grasses|6|LOW (0 - 15 grains)|1.9|05/04/2006
Trees|525|HIGH (271 - 3000 grains)|168.3|05/04/2006
Weeds|1|LOW (0 - 30 grains)|0.3|05/04/2006
Grasses|59|MODERATE (16 - 60 grains)|18.9|05/05/2006
Trees|493|HIGH (271 - 3000 grains)|158.0|05/05/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/05/2006
Grasses|11|LOW (0 - 15 grains)|3.5|05/08/2006
Trees|90|MODERATE (46 - 270 grains)|28.8|05/08/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/08/2006
Grasses|3|LOW (0 - 15 grains)|1.0|05/09/2006
Trees|10|LOW (0 - 45 grains)|3.2|05/09/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/09/2006
Grasses|130|HIGH (61 - 600 grains)|41.7|05/10/2006
Trees|45|LOW (0 - 45 grains)|14.4|05/10/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/10/2006
Grasses|32|MODERATE (16 - 60 grains)|10.3|05/11/2006
Trees|70|MODERATE (46 - 270 grains)|22.4|05/11/2006
Weeds|1|LOW (0 - 30 grains)|0.3|05/11/2006
Grasses|30|MODERATE (16 - 60 grains)|9.6|05/12/2006
Trees|280|HIGH (271 - 3000 grains)|89.7|05/12/2006
